DATE,MS_NUM_DEATH
2009-01-01,310
2009-01-02,322
2009-01-03,310
2009-01-04,344
2009-01-05,366
2009-01-06,320
2009-01-07,381
2009-01-08,365
2009-01-09,347
2009-01-10,367
2009-01-11,320
2009-01-12,379
2009-01-13,375
2009-01-14,355
2009-01-15,382
2009-01-16,379
2009-01-17,390
2009-01-18,375
2009-01-19,377
2009-01-20,382
2009-01-21,390
2009-01-22,359
2009-01-23,390
2009-01-24,369
2009-01-25,345
2009-01-26,378
2009-01-27,371
2009-01-28,359
2009-01-29,334
2009-01-30,375
2009-01-31,372
2009-02-01,336
2009-02-02,360
2009-02-03,387
2009-02-04,356
2009-02-05,408
2009-02-06,346
2009-02-07,366
2009-02-08,378
2009-02-09,382
2009-02-10,361
2009-02-11,359
2009-02-12,371
2009-02-13,363
2009-02-14,344
2009-02-15,328
2009-02-16,313
2009-02-17,340
2009-02-18,347
2009-02-19,300
2009-02-20,295
2009-02-21,325
2009-02-22,328
2009-02-23,318
2009-02-24,327
2009-02-25,306
2009-02-26,347
2009-02-27,377
2009-02-28,331
2009-03-01,313
2009-03-02,291
2009-03-03,311
2009-03-04,311
2009-03-05,331
2009-03-06,316
2009-03-07,311
2009-03-08,313
2009-03-09,294
2009-03-10,268
2009-03-11,282
2009-03-12,302
2009-03-13,312
2009-03-14,295
2009-03-15,258
2009-03-16,300
2009-03-17,298
2009-03-18,252
2009-03-19,293
2009-03-20,298
2009-03-21,267
2009-03-22,261
2009-03-23,260
2009-03-24,283
2009-03-25,299
2009-03-26,262
2009-03-27,297
2009-03-28,266
2009-03-29,284
2009-03-30,255
2009-03-31,303
2009-04-01,269
2009-04-02,295
2009-04-03,257
2009-04-04,271
2009-04-05,282
2009-04-06,302
2009-04-07,284
2009-04-08,264
2009-04-09,324
2009-04-10,282
2009-04-11,299
2009-04-12,253
2009-04-13,253
2009-04-14,281
2009-04-15,267
2009-04-16,300
2009-04-17,312
2009-04-18,263
2009-04-19,261
2009-04-20,274
2009-04-21,310
2009-04-22,269
2009-04-23,278
2009-04-24,291
2009-04-25,286
2009-04-26,246
2009-04-27,268
2009-04-28,268
2009-04-29,254
2009-04-30,285
2009-05-01,278
2009-05-02,252
2009-05-03,264
2009-05-04,231
2009-05-05,238
2009-05-06,270
2009-05-07,229
2009-05-08,276
2009-05-09,252
2009-05-10,241
2009-05-11,253
2009-05-12,282
2009-05-13,264
2009-05-14,266
2009-05-15,256
2009-05-16,252
2009-05-17,213
2009-05-18,262
2009-05-19,263
2009-05-20,280
2009-05-21,275
2009-05-22,264
2009-05-23,260
2009-05-24,230
2009-05-25,290
2009-05-26,282
2009-05-27,249
2009-05-28,279
2009-05-29,265
2009-05-30,250
2009-05-31,260
2009-06-01,272
2009-06-02,297
2009-06-03,257
2009-06-04,247
2009-06-05,266
2009-06-06,252
2009-06-07,259
2009-06-08,265
2009-06-09,305
2009-06-10,257
2009-06-11,274
2009-06-12,253
2009-06-13,248
2009-06-14,275
2009-06-15,276
2009-06-16,271
2009-06-17,253
2009-06-18,257
2009-06-19,298
2009-06-20,231
2009-06-21,230
2009-06-22,247
2009-06-23,265
2009-06-24,289
2009-06-25,268
2009-06-26,295
2009-06-27,296
2009-06-28,289
2009-06-29,281
2009-06-30,284
2009-07-01,283
2009-07-02,288
2009-07-03,294
2009-07-04,251
2009-07-05,263
2009-07-06,240
2009-07-07,236
2009-07-08,227
2009-07-09,264
2009-07-10,261
2009-07-11,249
2009-07-12,266
2009-07-13,270
2009-07-14,269
2009-07-15,281
2009-07-16,290
2009-07-17,280
2009-07-18,240
2009-07-19,232
2009-07-20,241
2009-07-21,257
2009-07-22,296
2009-07-23,269
2009-07-24,240
2009-07-25,232
2009-07-26,226
2009-07-27,259
2009-07-28,295
2009-07-29,272
2009-07-30,271
2009-07-31,247
2009-08-01,246
2009-08-02,239
2009-08-03,262
2009-08-04,259
2009-08-05,293
2009-08-06,302
2009-08-07,289
2009-08-08,245
2009-08-09,237
2009-08-10,261
2009-08-11,228
2009-08-12,269
2009-08-13,246
2009-08-14,234
2009-08-15,241
2009-08-16,245
2009-08-17,264
2009-08-18,215
2009-08-19,253
2009-08-20,316
2009-08-21,231
2009-08-22,218
2009-08-23,255
2009-08-24,292
2009-08-25,243
2009-08-26,278
2009-08-27,244
2009-08-28,252
2009-08-29,227
2009-08-30,222
2009-08-31,264
2009-09-01,263
2009-09-02,266
2009-09-03,253
2009-09-04,252
2009-09-05,248
2009-09-06,237
2009-09-07,261
2009-09-08,259
2009-09-09,272
2009-09-10,254
2009-09-11,258
2009-09-12,260
2009-09-13,238
2009-09-14,229
2009-09-15,249
2009-09-16,280
2009-09-17,260
2009-09-18,275
2009-09-19,248
2009-09-20,262
2009-09-21,270
2009-09-22,283
2009-09-23,265
2009-09-24,264
2009-09-25,279
2009-09-26,239
2009-09-27,243
2009-09-28,248
2009-09-29,273
2009-09-30,256
2009-10-01,275
2009-10-02,267
2009-10-03,241
2009-10-04,269
2009-10-05,278
2009-10-06,258
2009-10-07,280
2009-10-08,294
2009-10-09,274
2009-10-10,263
2009-10-11,265
2009-10-12,265
2009-10-13,275
2009-10-14,276
2009-10-15,248
2009-10-16,277
2009-10-17,278
2009-10-18,253
2009-10-19,292
2009-10-20,285
2009-10-21,352
2009-10-22,296
2009-10-23,297
2009-10-24,284
2009-10-25,303
2009-10-26,280
2009-10-27,276
2009-10-28,290
2009-10-29,292
2009-10-30,295
2009-10-31,294
2009-11-01,267
2009-11-02,299
2009-11-03,259
2009-11-04,304
2009-11-05,269
2009-11-06,294
2009-11-07,281
2009-11-08,276
2009-11-09,295
2009-11-10,291
2009-11-11,248
2009-11-12,256
2009-11-13,283
2009-11-14,311
2009-11-15,276
2009-11-16,288
2009-11-17,296
2009-11-18,289
2009-11-19,268
2009-11-20,277
2009-11-21,283
2009-11-22,306
2009-11-23,278
2009-11-24,280
2009-11-25,261
2009-11-26,299
2009-11-27,296
2009-11-28,277
2009-11-29,279
2009-11-30,276
2009-12-01,284
2009-12-02,291
2009-12-03,274
2009-12-04,292
2009-12-05,265
2009-12-06,294
2009-12-07,274
2009-12-08,284
2009-12-09,296
2009-12-10,268
2009-12-11,309
2009-12-12,266
2009-12-13,276
2009-12-14,277
2009-12-15,279
2009-12-16,280
2009-12-17,302
2009-12-18,311
2009-12-19,311
2009-12-20,303
2009-12-21,364
2009-12-22,354
2009-12-23,331
2009-12-24,370
2009-12-25,306
2009-12-26,274
2009-12-27,296
2009-12-28,325
2009-12-29,340
2009-12-30,339
2009-12-31,333
2010-01-01,325
2010-01-02,324
2010-01-03,315
2010-01-04,291
2010-01-05,328
2010-01-06,341
2010-01-07,353
2010-01-08,327
